,0
47339,5
67456,4
12308,8
32557,0
664,2
21003,6
29637,5
57937,4
23680,8
26306,3
62315,1
39158,5
2514,9
48919,4
39424,5
58927,9
35370,1
47765,8
51540,1
9451,0
11483,6
59924,6
62576,1
56126,8
49586,3
62922,5
10034,3
68857,8
59084,9
42639,7
60437,3
55154,6
61201,1
31751,1
19620,3
58157,6
63736,7
5751,2
14493,9
11181,8
31975,3
68286,1
17271,3
64362,8
57358,2
3620,7
26345,6
62298,8
25983,1
36808,9
59340,8
25911,3
47161,7
38401,2
292,4
38595,1
22654,6
18783,2
29177,0
6712,5
29935,9
68574,8
19764,2
35923,0
6986,7
54931,1
1438,2
56405,6
63214,1
26001,7
54623,7
56149,1
64398,8
9836,2
15236,8
63847,0
21840,9
14562,5
47834,3
24880,4
6883,0
21035,3
67428,8
30335,1
67425,4
31088,9
33185,2
59043,0
15717,3
34110,7
62041,1
45920,2
16424,5
34983,9
59259,4
22814,6
15742,5
14104,7
41655,4
67908,7
25529,0
69422,5
19761,6
1096,2
2742,4
36537,0
38802,0
40008,5
33633,3
65243,0
59632,6
52376,1
16446,5
38904,3
15399,0
20280,7
19832,9
63031,6
23503,2
58718,0
60446,6
16355,0
19826,8
8739,0
49053,7
62630,4
27404,6
18173,7
38408,5
51334,9
66863,3
46927,8
60604,5
24950,8
16750,8
18432,6
22941,7
29626,2
51799,3
62205,4
59347,6
56669,5
34255,6
812,9
19051,1
57844,4
26682,9
57622,6
68847,5
30440,6
11316,6
7941,1
10441,5
65202,4
27704,6
21073,2
19872,0
14644,0
4836,3
19386,3
59212,5
30732,8
63200,9
24969,3
1272,9
20964,9
19185,9
14504,9
10092,5
66282,5
54959,6
60689,7
1489,0
65668,5
27790,1
36146,0
26348,2
28344,3
59154,0
60328,7
56301,2
25863,7
21372,0
32756,1
66333,5
19672,4
30274,1
51249,1
59859,0
58798,6
47281,5
39537,9
39393,1
5395,1
2069,4
62776,3
61714,9
42242,1
57495,3
69687,0
30168,6
53734,0
21579,3
17902,9
38792,5
39831,5
5981,0
66927,0
55779,7
20984,6
26131,5
31065,3
44213,4
35083,8
40246,0
39389,8
13863,5
25171,6
64270,3
6954,6
36248,3
39919,2
59126,4
18291,8
5284,3
40188,0
57569,4
30471,1
49574,9
9922,0
7789,1
51068,7
18849,6
60553,8
28322,1
24115,1
50628,0
42717,2
33285,4
40282,6
41086,6
12414,0
38486,5
22017,6
48793,1
69393,7
25716,7
14869,6
46394,2
52178,7
11594,7
31176,7
12862,5
30468,3
26689,2
9284,2
18357,0
35795,6
47868,1
11919,7
49845,5
9892,6
52213,5
64744,8
25660,4
37833,7
45296,4
52559,5
19341,7
44712,4
48029,2
60650,6
68053,9
59468,7
46297,7
50656,4
61685,6
38582,1
58737,1
62845,9
69688,0
39262,1
55994,6
20670,3
39232,1
38159,1
25213,8
33213,2
32950,0
15679,2
45542,6
25303,9
1226,3
34915,6
35992,2
6601,3
48473,7
44591,2
5186,3
28373,4
25222,3
12322,4
43652,1
49269,3
42647,6
24481,3
54429,5
67943,0
17657,6
59880,5
38358,9
35688,3
57351,3
17133,0
55916,7
64767,7
16337,7
28717,5
4939,4
47862,2
2593,8
6062,1
54829,3
30718,7
26307,3
60162,5
3023,2
47293,4
50850,1
44862,0
9463,0
23336,5
57504,7
36010,8
47359,8
54815,2
64811,7
25885,1
19925,5
47461,3
20560,8
3025,5
35110,2
194,4
3508,9
821,1
2532,0
2706,7
46753,8
25133,7
16866,0
35451,7
60070,7
15521,4
43841,7
51582,9
1877,0
42526,3
29326,7
56065,2
14442,9
23388,7
47011,6
31697,9
26847,4
16790,8
4573,5
39112,6
59446,5
9924,8
28323,0
68329,4
30634,2
69023,9
12508,1
35197,1
68036,2
31829,1
27614,2
3551,1
50671,3
23187,4
48557,3
45715,7
19791,7
54819,4
34049,6
24584,3
15854,0
61660,7
48609,6
66388,6
23789,8
22359,9
58227,3
20988,1
14321,1
54827,9
11658,4
4940,5
24548,7
31725,7
5522,9
60330,1
41573,3
39150,7
41246,6
42323,2
30912,7
43875,3
65369,0
13585,2
49246,1
57507,0
50261,1
25233,9
10883,9
22608,7
6400,0
49902,1
48162,8
4745,8
51023,7
19224,8
12162,9
65566,1
4380,2
2065,2
29167,2
40109,3
23203,1
40621,4
26338,0
6418,5
54898,3
27642,6
1846,7
16423,0
58745,1
23220,7
22603,0
10049,5
14114,7
30103,9
51814,4
6707,7
45152,0
38823,1
11933,0
18248,5
9025,4
41245,0
69902,0
68936,2
10159,4
14696,9
12709,3
27837,7
6956,7
1793,8
13685,0
23881,4
21547,7
18602,9
34221,4
9430,1
42868,8
33916,6
8296,1
61906,9
68066,9
29766,6
44263,5
65267,2
33761,4
30918,5
65504,3
27680,2
20021,2
51598,0
24572,7
4647,7
48409,6
55737,3
13645,2
5582,1
32883,3
41032,5
23755,1
38514,6
50823,6
38740,9
2440,0
25589,9
45970,3
17820,3
35325,9
52970,5
17377,9
25325,0
69984,1
5827,8
35746,0
50462,9
51978,0
18818,7
23413,1
60427,1
40016,8
68792,6
16343,7
66978,0
7687,0
14148,0
9222,0
32832,4
10915,1
23343,6
16223,8
62505,7
19020,5
23335,2
21018,3
18937,4
16196,2
11610,6
54298,6
8276,9
44346,6
68715,1
16514,7
47163,8
39995,8
23209,5
25584,0
53489,1
57353,6
35988,6
11948,0
42022,6
15488,5
25393,6
39007,1
68340,1
27600,2
69162,0
58635,7
51573,0
38610,5
58330,5
43364,4
69361,6
1032,5
3467,5
6317,3
31678,7
3953,0
40425,2
26788,2
21349,6
43084,5
26419,3
40021,5
22717,3
8854,4
30834,9
55815,9
8518,9
40490,3
18469,7
68727,7
64620,6
47795,3
10758,4
14527,3
48407,8
66193,2
33046,5
60099,9
63102,5
15197,5
55487,0
19696,9
35986,3
5747,0
60600,6
31810,8
49318,3
47392,8
27797,2
43228,4
26386,6
47263,0
45367,2
46793,8
13379,1
21733,8
4613,4
32754,6
31162,8
43707,7
23516,5
66911,4
43544,9
33696,9
19387,9
4653,0
4244,9
53482,3
34567,8
23156,3
39569,9
52532,4
62285,7
32639,8
14967,1
11052,0
55936,6
47495,7
66129,0
13458,4
19858,5
48546,4
47294,0
24447,1
12248,9
10105,9
66278,1
64345,2
59288,0
8723,0
15759,0
62288,3
30644,3
56160,7
58942,8
59442,6
63874,9
28296,0
543,5
67393,5
23364,2
5426,9
26701,8
41137,0
53943,3
22397,2
54094,1
59365,2
43782,3
37522,8
66754,2
21334,1
18236,2
36946,3
24468,9
56449,3
19030,9
6434,5
38882,3
10171,7
25565,9
25140,7
3348,9
6662,3
63240,9
12203,9
42373,2
56943,6
65862,5
60518,5
31878,9
23811,7
42175,1
42415,7
31059,0
23468,2
43014,3
25007,3
47089,4
10331,4
52839,2
17128,8
16730,8
10792,6
38949,0
28011,7
56748,5
48078,5
18282,1
60609,2
62949,8
9183,3
3504,4
52302,7
22794,1
12933,3
44428,6
62410,0
1278,5
22621,1
12090,6
57596,8
30135,9
54314,2
63004,2
36732,3
60746,7
33875,3
31207,7
23378,0
57268,1
41919,7
10460,4
56100,2
42469,3
15727,6
22764,0
43731,8
66317,8
10454,3
43528,7
25876,1
46148,9
46452,1
34322,8
11247,7
66352,2
36781,2
68566,8
44766,0
51000,7
58932,7
54071,1
5371,9
61026,8
33034,6
19756,8
2362,1
25930,5
56333,1
68647,6
3334,4
38651,9
51488,8
33200,5
54342,1
21981,9
29296,7
26362,8
16765,4
42355,3
55550,3
15267,8
67625,0
41,8
39360,0
68180,5
26342,6
56650,7
31540,8
65768,6
50326,1
16870,8
2354,2
33376,5
54379,4
62321,6
24212,0
61122,7
54010,0
34821,5
65382,3
19527,7
41689,3
66944,7
35544,7
68251,0
31187,7
56798,7
59947,5
56077,7
45399,8
3834,9
57460,1
27232,2
25558,4
5955,1
14189,8
54026,9
11270,5
24863,1
24627,0
55520,6
34694,9
34759,1
21158,9
2490,4
37312,8
19647,6
20565,3
66417,4
49594,0
43173,4
60643,2
66719,0
26396,6
4269,2
7484,2
1326,7
41082,2
49975,2
67394,4
18416,5
58152,9
64807,8
16377,8
1302,7
22312,9
12826,3
42037,2
44495,2
55712,5
48667,3
30115,6
7144,5
35535,5
4523,9
29199,0
47384,1
32755,5
3836,2
52305,0
34400,5
21867,4
63149,9
32797,2
58295,6
49471,0
60777,1
147,6
49747,9
17892,2
59586,1
29081,2
33962,3
50736,2
31045,1
13278,9
13961,1
37903,3
27550,0
28345,5
53182,3
22572,4
20540,3
42005,0
34331,7
16521,9
31374,7
22146,2
29088,1
12160,9
40708,8
20610,3
45360,5
43357,5
59997,5
7079,2
43178,7
27954,5
32582,5
35708,0
59898,0
3094,8
36249,9
22284,2
41126,0
53908,1
40467,8
67763,3
65349,8
8082,2
34912,8
41579,2
17395,6
53181,8
24141,7
9420,3
55465,9
17497,7
32783,6
65933,1
52225,2
52673,0
27717,7
11435,7
68326,6
34877,5
66348,8
33494,5
33644,2
6072,8
9480,1
30040,3
29591,9
51620,6
64085,1
13524,3
53481,6
49457,8
64636,2
45318,4
21267,9
64919,9
50723,0
17037,3
27335,4
44486,9
49254,3
11751,8
25554,7
41188,6
17841,2
44710,2
44902,2
68078,1
64592,9
13951,8
59488,1
27148,0
21476,1
33251,8
63831,9
11708,3
22806,6
4933,1
37161,3
36967,7
53349,9
25962,6
40361,4
7772,2
51275,2
5211,5
6357,0
32505,3
69275,3
5373,0
8479,5
47492,6
16084,5
63202,7
48369,5
56479,5
12545,3
43485,6
23072,6
42971,3
69663,0
24554,6
4243,6
48004,5
640,7
52753,3
33310,1
37231,6
69804,3
47570,7
8455,3
8908,6
34267,7
69035,5
3493,8
7517,4
47039,5
25285,0
57084,8
63442,6
28356,5
55678,2
41903,9
69050,6
69901,9
38339,2
42564,9
30321,4
35767,8
24006,9
2089,4
55295,9
63226,0
38808,0
69910,8
69966,6
6,1
57397,0
52258,9
30888,4
44903,3
33985,1
47679,9
2150,8
48056,4
5090,1
51308,0
55043,8
42761,5
32189,1
65841,3
28449,4
18881,0
68924,3
62940,2
23311,9
68777,3
34944,2
2575,7
45554,3
23166,9
10854,4
6558,1
28971,0
48672,7
